track_id,track_info,artists,name,playcount,explicit,popularity
2hzdutjZmHEyM2EB0JqDsx,"{'uri': 'spotify:track:2hzdutjZmHEyM2EB0JqDsx', 'playcount': 1395661, 'name': 'Look At The Time', 'popularity': 0, 'number': 1, 'duration': 260575, 'explicit': False, 'playable': True, 'artists': [{'name': 'Sawyer Hill', 'uri': 'spotify:artist:3CwWzT9t3z7DARyhDIzwIG', 'image': {'uri': ''}}]}",['Sawyer Hill'],Look At The Time,1395661,False,0
1LPGwuFgIzbJoShfDdw7MY,"{'uri': 'spotify:track:1LPGwuFgIzbJoShfDdw7MY', 'playcount': 177266956, 'name': 'Youth', 'popularity': 0, 'number': 2, 'duration': 230693, 'explicit': False, 'playable': True, 'artists': [{'name': 'Glass Animals', 'uri': 'spotify:artist:4yvcSjfu4PC0CYQyLy4wSq', 'image': {'uri': ''}}]}",['Glass Animals'],Youth,177266956,False,0
6MDijuuArPJv1vbp7K1x3f,"{'uri': 'spotify:track:6MDijuuArPJv1vbp7K1x3f', 'playcount': 151890693, 'name': 'Genghis Khan', 'popularity': 0, 'number': 3, 'duration': 212146, 'explicit': False, 'playable': True, 'artists': [{'name': 'Miike Snow', 'uri': 'spotify:artist:4l1cKWYW591xnwEGxpUg3J', 'image': {'uri': ''}}]}",['Miike Snow'],Genghis Khan,151890693,False,0
08cXy6KUizaAelYXtcew3w,"{'uri': 'spotify:track:08cXy6KUizaAelYXtcew3w', 'playcount': 81530663, 'name': '1957', 'popularity': 0, 'number': 6, 'duration': 204213, 'explicit': False, 'playable': True, 'artists': [{'name': 'Milo Greene', 'uri': 'spotify:artist:5euJsEvfrlfhYDorMR40OF', 'image': {'uri': ''}}]}",['Milo Greene'],1957,81530663,False,0
310BgC3S2W0Cl8w0OmyS3n,"{'uri': 'spotify:track:310BgC3S2W0Cl8w0OmyS3n', 'playcount': 24472708, 'name': 'Vagabond', 'popularity': 0, 'number': 11, 'duration': 185866, 'explicit': False, 'playable': True, 'artists': [{'name': 'MisterWives', 'uri': 'spotify:artist:5ivCbtrcD5N4rD337xIb2z', 'image': {'uri': ''}}]}",['MisterWives'],Vagabond,24472708,False,0
0fYVliAYKHuPmECRs1pbRf,"{'uri': 'spotify:track:0fYVliAYKHuPmECRs1pbRf', 'playcount': 714966930, 'name': 'Renegades', 'popularity': 0, 'number': 2, 'duration': 195200, 'explicit': False, 'playable': True, 'artists': [{'name': 'X Ambassadors', 'uri': 'spotify:artist:3NPpFNZtSTHheNBaWC82rB', 'image': {'uri': ''}}]}",['X Ambassadors'],Renegades,714966930,False,0
3GBApU0NuzH4hKZq4NOSdA,"{'uri': 'spotify:track:3GBApU0NuzH4hKZq4NOSdA', 'playcount': 712535772, 'name': 'What You Know', 'popularity': 0, 'number': 8, 'duration': 191706, 'explicit': False, 'playable': True, 'artists': [{'name': 'Two Door Cinema Club', 'uri': 'spotify:artist:536BYVgOnRky0xjsPT96zl', 'image': {'uri': ''}}]}",['Two Door Cinema Club'],What You Know,712535772,False,0
2tznHmp70DxMyr2XhWLOW0,"{'uri': 'spotify:track:2tznHmp70DxMyr2XhWLOW0', 'playcount': 769251089, 'name': 'Cigarette Daydreams', 'popularity': 0, 'number': 10, 'duration': 208760, 'explicit': False, 'playable': True, 'artists': [{'name': 'Cage The Elephant', 'uri': 'spotify:artist:26T3LtbuGT1Fu9m0eRq5X3', 'image': {'uri': ''}}]}",['Cage The Elephant'],Cigarette Daydreams,769251089,False,0
2IWWOWS7n00wpz1ewqEC8w,"{'uri': 'spotify:track:2IWWOWS7n00wpz1ewqEC8w', 'playcount': 12203774, 'name': 'Infinitely Ordinary', 'popularity': 0, 'number': 8, 'duration': 172986, 'explicit': False, 'playable': True, 'artists': [{'name': 'The Wrecks', 'uri': 'spotify:artist:458aS6ALc3QkzwfR5USt34', 'image': {'uri': ''}}]}",['The Wrecks'],Infinitely Ordinary,12203774,False,0
4Sfa7hdVkqlM8UW5LsSY3F,"{'uri': 'spotify:track:4Sfa7hdVkqlM8UW5LsSY3F', 'playcount': 285880416, 'name': 'Take a Walk', 'popularity': 0, 'number': 1, 'duration': 264493, 'explicit': False, 'playable': True, 'artists': [{'name': 'Passion Pit', 'uri': 'spotify:artist:7gjAu1qr5C2grXeQFFOGeh', 'image': {'uri': ''}}]}",['Passion Pit'],Take a Walk,285880416,False,0
2Iq6HhIquO7JKr0KfTNLzU,"{'uri': 'spotify:track:2Iq6HhIquO7JKr0KfTNLzU', 'playcount': 318003457, 'name': 'My Type', 'popularity': 0, 'number': 1, 'duration': 204811, 'explicit': False, 'playable': True, 'artists': [{'name': 'Saint Motel', 'uri': 'spotify:artist:1dWEYMPtNmvSVaDNLgB6NV', 'image': {'uri': ''}}]}",['Saint Motel'],My Type,318003457,False,0
0qM7QW0hUI8Lez3MAI3P5U,"{'uri': 'spotify:track:0qM7QW0hUI8Lez3MAI3P5U', 'playcount': 19651285, 'name': 'Gold', 'popularity': 0, 'number': 3, 'duration': 231760, 'explicit': False, 'playable': True, 'artists': [{'name': 'Sir Sly', 'uri': 'spotify:artist:3DFoVPonoAAt4EZ1FEI8ue', 'image': {'uri': ''}}]}",['Sir Sly'],Gold,19651285,False,0
